Buyer Name,S/O No,S/O Date,Order No,Order Date,PO Srl,Style No,Item Code,Drg.No,Size,Order Qty,Pack Qty,Sale Qty,Cncl.Qty,O/S Ord.Qty,Unit,Delivery Date,Department,Rate,Gross Value,Currency,Commitment Dt,Payment Term,S.O Comment,Item Description,Pack Slip No,Pack Slip Dt,Currency Value,Dept.Remark,Cust Code,DIE Indend,SO SPL.Remark
ADANI POWER LIMITED,F-694A/25-26,23-Jul-25,4503051826,12-Jul-25,110,STYLE NA-710,6084911823,APL-ME-BO-660-A3-938 Rev-0,120 X 105 X 13 MM,5.000,0.000,0.000,0.000,5.000,NOS,29-Aug-25,SPK,172.0000,860.00,INR,,WITHIN 30 DAYS,,FLEXIBLE PURE GRAPHITE COMPRESSED PRESSURE SEAL RING REINFORCED WITH AISI 304 WIRE NET IN ENDLESS FORM HAVING DENSITY 1.8 G/CC IN RECTANGULAR CROSS SECTION AS PER DRAWING.,,,860,,00431,No,-
ADANI POWER LIMITED,F-694A/25-26,23-Jul-25,4503051826,12-Jul-25,100,STYLE NA-710,7787131413,APL-ME-BO-CM-A4-0156 Rev-0,230 X 202 X 16 MM,3.000,0.000,0.000,0.000,3.000,NOS,29-Aug-25,SPK,757.0000,2271.00,INR,,WITHIN 30 DAYS,,FLEXIBLE PURE GRAPHITE COMPRESSED PRESSURE SEAL RING REINFORCED WITH AISI 304 WIRE NET IN ENDLESS FORM HAVING DENSITY 1.8 G/CC. AS PER DRAWING (RADIOUS IN ID).,,,2271,,00431,No,-
ADANI POWER LIMITED,F-694A/25-26,23-Jul-25,4503051826,12-Jul-25,60,STYLE NA-710,6084911301,APL-ME-BO-660-A3-941 Rev-0,301 X 273 X 16/30 MM,3.000,0.000,0.000,0.000,3.000,NOS,29-Aug-25,SPK,1200.0000,3600.00,INR,,WITHIN 30 DAYS,,"FLEXIBLE PURE GRAPHITE COMPRESSED PRESSURE SEAL RING REINFORCED WITH AISI 304 WIRE NET IN ENDLESS FORM HAVING DENSITY 1.8 G/CC IN ANGULAR CROSS SECTION AS PER DRAWING.
",,,3600,,00431,No,-
ADANI POWER LIMITED,F-694A/25-26,23-Jul-25,4503051826,12-Jul-25,10,STYLE NA-710,7787131533,APL-ME-BO-CM-A4- 0158 Rev-0,450 X 394 X 40 MM,3.000,0.000,0.000,0.000,3.000,NOS,29-Aug-25,SPK,7394.0000,22182.00,INR,,WITHIN 30 DAYS,,FLEXIBLE PURE GRAPHITE COMPRESSED PRESSURE SEAL RING REINFORCED WITH AISI 304 WIRE NET IN ENDLESS FORM HAVING DENSITY 1.8 G/CC. AS PER DRAWING (RADIOUS IN ID).,,,22182,,00431,No,-
ADANI POWER LIMITED,F-694A/25-26,23-Jul-25,4503051826,12-Jul-25,50,STYLE NA-710V,6084911873,APL-ME-BO-CM-A4-0153 Rev-0,189.5 X 160 X 20 MM,8.000,0.000,0.000,0.000,8.000,NOS,29-Aug-25,SPK,2015.0000,16120.00,INR,,WITHIN 30 DAYS,,FLEXIBLE PURE GRAPHITE COMPRESSED PRESSURE SEAL RING REINFORCED WITH AISI 304 WIRE NET IN ENDLESS FORM AND WITH ANTI-EXTRUSION AISI 316 CAP ON TOP AND BOTTOM HAVING DENSITY 1.8 GM/CC AS PER DRAWING,,,16120,,00431,No,-
ADANI POWER LIMITED,F-694A/25-26,23-Jul-25,4503051826,12-Jul-25,40,STYLE NA-712,7787909693,APL-ME-BO-169 Rev-0,150 X 128 X 15 MM,10.000,0.000,0.000,0.000,10.000,NOS,29-Aug-25,SPK,460.0000,4600.00,INR,,WITHIN 30 DAYS,,"RADIOUS IN CORNER FLEXIBLE PURE GRAPHITE COMPRESSED SEAL RING (GASKET) HAVING MULTI-LAYERED INCONEL WIRE MESH ON TOP AND BOTTOM IN ENDLESS FORM, AS PER DRAWING.",,,4600,,00431,No,-
ADANI POWER LIMITED,F-694A/25-26,23-Jul-25,4503051826,12-Jul-25,20,STYLE NA-712,8548995043,APL-ME-BO-CM-A4-0102 Rev.0,342 X 302 X 30 MM,4.000,0.000,0.000,0.000,4.000,NOS,29-Aug-25,SPK,3072.0000,12288.00,INR,,WITHIN 30 DAYS,,"FLEXIBLE PURE GRAPHITE COMPRESSED SEAL RING (GASKET) HAVING MULTILAYERED SS 316 WIRE MESH ON TOP AND BOTTOM IN ENDLESS FORM, AS PER DRAWING.",,,12288,,00431,No,-
ADANI POWER LIMITED,F-694A/25-26,23-Jul-25,4503051826,12-Jul-25,30,STYLE NA-712,7787909543,APL-ME-BO-01-A4- 0173 Rev-0,421 X 365 X 40 MM,2.000,0.000,0.000,0.000,2.000,NOS,29-Aug-25,SPK,8523.0000,17046.00,INR,,WITHIN 30 DAYS,,"RADIOUS IN CORNER FLEXIBLE PURE GRAPHITE COMPRESSED SEAL RING (GASKET) HAVING MULTI-LAYERED INCONEL WIRE MESH ON TOP AND BOTTOM IN ENDLESS FORM, AS PER DRAWING.",,,17046,,00431,No,-
ALAA INDUSTRIAL EQUIPMENT FACTORY CO.,EXP-1799/25-26,26-Sep-25,105000691,24-Sep-25,1,VIRGIN PTFE,3AF003-004282,-,101 X 95.4 X 2 MM,200.000,0.000,0.000,0.000,200.000,NOS,31-Oct-25,POLYMER,1.3000,260.00,USD,,WITHIN 30 DAYS,,FLAT RING WITH RECTANGULAR CROSS SECTION.,,,22880,,00202,No,-
ALAA INDUSTRIAL EQUIPMENT FACTORY CO.,EXP-1799/25-26,26-Sep-25,105000691,24-Sep-25,2,VIRGIN PTFE,3AF003-004281,-,81 X 75.4 X 2 MM,50.000,0.000,0.000,0.000,50.000,NOS,31-Oct-25,POLYMER,0.8200,41.00,USD,,WITHIN 30 DAYS,,FLAT RING WITH RECTANGULAR CROSS SECTION.,,,3608,,00202,No,-
